date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:00:34	117700/117700	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:54%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/3/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/3/location/all.html	(from https://www.wedmegood.com/)
23:00:35	31018/31018	---M--	200	added ('OK')	image/jpeg	etag:%227190fa7d1a01f02cfa7a79296417fad1%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/40281633.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/40281633.jpg	(from https://www.wedmegood.com/)
23:00:35	116458/116458	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:56%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/2/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/2/location/all.html	(from https://www.wedmegood.com/)
23:00:36	43339/43339	---M--	200	added ('OK')	image/jpeg	etag:%224719d205f48b9294dfbf3b2ee354ed18%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/980463184.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/980463184.jpg	(from https://www.wedmegood.com/)
23:00:37	117964/117964	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:57%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/14/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/14/location/all.html	(from https://www.wedmegood.com/)
23:00:38	16942/16942	---M--	200	added ('OK')	image/jpeg	etag:%226da79ff72c76709e6fd338a7bd0b05ba%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/524295400.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/524295400.jpg	(from https://www.wedmegood.com/)
23:00:38	118054/118054	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:31:58%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/28/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/28/location/all.html	(from https://www.wedmegood.com/)
23:00:39	117145/117145	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:32:00%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/25/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/25/location/all.html	(from https://www.wedmegood.com/)
23:00:39	75829/75829	---M--	200	added ('OK')	image/jpeg	etag:%223a9b845a5a312b972cefc4b813703a73%22	https://d2eanzqpmoo3ec.cloudfront.net/uploads/244525863.jpg	C:/My%20Web%20Sites/ShaddiJugaad/d2eanzqpmoo3ec.cloudfront.net/uploads/244525863.jpg	(from https://www.wedmegood.com/)
23:00:40	117234/117234	---MCZ	200	added ('OK')	text/html	date:Mon,%2015%20Feb%202016%2017:32:01%20GMT	https://www.wedmegood.com/explore_browse/color/all/category/26/location/all	C:/My%20Web%20Sites/ShaddiJugaad/www.wedmegood.com/explore_browse/color/all/category/26/location/all.html	(from https://www.wedmegood.com/)
